,structure,estimated frequency
148,[_[[[]_][]]_],7.727408025474389e-12
149,[][_[[_[]]_]],4.743646151157624e-10
150,[][[_[[]_]]_],3.17792873228134e-10
151,[[_[_[]]]_][],3.3516223148662075e-10
152,[[[[]_]_]_][],7.401351822742821e-10
153,[_[_[[]_]]][],3.946701652757753e-10
154,[[_[[]_]_][]],1.5205904428375164e-11
155,[[[]_]_][[]_],7.33791882587273e-10
156,[[]_][_[_[]]],8.050182525346762e-10
157,[_[_[_[]_]]_],0.0002040750266726615
158,[[_[[]_]]_][],3.619629184255995e-10
159,[[_[_[]_]_]_],0.00019054616319653012
160,[_[[_[]_][]]],2.279361582086333e-11
161,[[[_[]]_]_][],4.727220214970927e-10
162,[[][[_[]_]_]],7.40261031845442e-12
163,[_[[[][]]_]_],4.9578267392026126e-12
164,[[[_[]_][]]_],7.551955457233103e-12
165,[[[]_]_][_[]],4.82625849236845e-10
166,[[_[]_][[]_]],2.4971397445036887e-11
167,[][[[_[]]_]_],3.9231674507090233e-10
168,[[_[[][]]_]_],3.806151239279954e-12
169,[[[]_][_[]_]],7.721232027479243e-12
170,[_[[[]_]_]][],2.2258232385189723e-10
171,[[]_][[[]_]_],9.891002753255015e-10
172,[[_[_[]_]][]],1.1186390724308143e-11
173,[_[]][_[_[]]],8.755391324634835e-10
174,[[]_][[_[]]_],1.4293487714846206e-09
175,[][[[[]_]_]_],4.0483684883068854e-10
176,[][_[_[_[]]]],1.0727944575454145e-09
177,[_[_[[]_]_]_],0.00018565148080926938
178,[[_[]]_][_[]],8.694743934820392e-10
179,[[]_][_[[]_]],8.539619775603119e-10
180,[_[[][_[]_]]],1.3294997952520977e-11
181,[[_[_[]]_][]],5.601631893173476e-12
182,[[_[]][_[]_]],8.55143355814822e-12
183,[_[_[_[]_]_]],0.0001926272873678281
184,[_[[_[]_]_]_],0.00020477263719677322
185,[_[[]_]][_[]],5.916518128475265e-10
186,[_[]][_[[]_]],9.97421202676787e-10
187,[[][_[[]_]_]],4.01690598281402e-12
188,[_[]][[[]_]_],7.953417071207638e-10
189,[[[][_[]_]]_],1.3829910198086958e-11
190,[[_[]]_][[]_],6.14693264481605e-10
191,[_[[]_]][[]_],6.055656568226134e-10
192,[[[_[]_]_][]],7.094551918483838e-12
193,[_[_[_[]]_]_],0.00018907665375899092
194,[_[[_[]][]]_],1.0794997665119613e-11
195,[][_[[[]_]_]],9.53047961136662e-10
196,[][_[_[[]_]]],4.536361459388638e-10
197,[[][_[_[]]_]],4.939118609988556e-12
198,[_[_[]]][_[]],1.3154879340585512e-09
199,[[_[]_][_[]]],1.0264601180517803e-11
200,[][[_[_[]]]_],5.030589733367288e-10
201,[_[]][[_[]]_],6.035971889006949e-10
202,[_[_[]]][[]_],7.559541074138682e-10
203,[_[_[_[]]]][],4.177341503824887e-10
204,[[_[_[[]_]]]_],1.252485483317884e-07
205,[[[_[[]_]]_]_],1.0910922028017767e-07
206,[_[[_[]]_]_][],1.050943812967791e-10
207,[_[[_[]_]_]][],1.3596031368493094e-10
208,[[_[[_[]]_]]_],7.041200427933423e-08
209,[_[]_][_[[]_]],8.251376377984971e-11
210,[_[[[]_]_]_][],8.68064970167157e-11
211,[[[_[]_]_]_][],1.2843419465021752e-10
212,[_[]_][[[]_]_],1.1985589316466195e-10
213,[_[_[_[]]_]][],2.0540571584860987e-11
214,[][_[[_[]]_]_],3.86657086495596e-11
215,[][_[_[_[]]_]],7.298245126849519e-11
216,[][[[_[]_]_]_],1.579056234135048e-10
217,[_[[[[]_]_]_]],1.4022972815500269e-07
218,[][[_[_[]_]]_],8.964622346141494e-11
219,[[_[_[]]_]_][],1.0256606886745852e-10
220,[_[_[[[]_]_]]],1.4840883141145283e-07
221,[[[]_]_][_[]_],8.775301909858059e-11
222,[_[_[[][]]_]_],3.4558195202196843e-12
223,[[_[_[_[]]]]_],1.3563433120523165e-07
224,[_[[[_[]]_]_]],1.0145014773500599e-07
225,[][_[[_[]_]_]],1.1043749301509839e-10
226,[_[]_][[_[]]_],2.0332732212276198e-10
227,[[]_][_[[]_]_],8.69496191607359e-11
228,[][_[_[[]_]_]],8.446429740144174e-11
229,[[_[]_]_][_[]],2.3363277426579077e-10
230,[[_[[[]_]_]]_],1.0810342073385714e-07
231,[_[[]_]][_[]_],6.411238561690838e-11
232,[_[_[_[[]_]]]],1.5066511854803724e-07
233,[_[_[_[]_]_]_],0.0002443989228846696
234,[[[[[]_]_]_]_],2.0820834719348074e-07
235,[_[[_[_[]]]_]],1.0513081970999181e-07
236,[_[_[[]_]]_][],4.282239741095157e-11
237,[_[]][_[[]_]_],1.560374484236643e-10
238,[][_[[[]_]_]_],1.414785106100589e-10
239,[[]_][_[_[]]_],9.435357914269957e-11
240,[_[[]_]_][[]_],1.081605172054866e-10
241,[_[]][[_[]_]_],1.7116277363450732e-10
242,[][[_[[]_]_]_],9.481386048651284e-11
243,[][[_[_[]]_]_],4.8892491650688364e-11
244,[[_[]_][_[]_]],2.500385670473147e-12
245,[[]_][_[_[]_]],1.749621381822672e-10
246,[[]_][[_[]_]_],1.870685955845342e-10
247,[[_[]]_][_[]_],8.317915329880754e-11
248,[][_[_[_[]_]]],4.9919165931000306e-11
249,[_[_[]]_][[]_],1.5496486424905032e-10
250,[[_[_[]_]]_][],8.657750722490497e-11
251,[][_[_[[]_]]_],6.252709634030097e-11
252,[_[_[_[_[]]]]],2.0482774935107737e-07
253,[_[_[[_[]]_]]],1.1247602120973484e-07
254,[_[]][_[_[]]_],7.635418191819415e-11
255,[_[[]_]_][_[]],7.484886268571768e-11
256,[_[[_[]_][]]_],8.359135053985075e-13
257,[_[_[_[]]]_][],1.0364790047806652e-10
258,[_[[][_[]_]]_],1.4502494557765052e-12
259,[_[_[]]][_[]_],5.39107461134339e-10
260,[[[[_[]]_]_]_],1.4381684978843609e-07
261,[[_[[]_]_]_][],3.3087383693710026e-11
262,[[][_[_[]_]_]],1.818491282927489e-12
263,[_[[_[[]_]]_]],7.674134961932268e-08
264,[_[]_][_[_[]]],3.4368779920047534e-10
265,[[_[_[]_]_][]],6.167427741907149e-13
266,[_[_[]]_][_[]],7.89572561898232e-11
267,[_[_[_[]_]]][],2.5384694705057666e-11
268,[_[_[[]_]_]][],7.769978849698113e-11
269,[][_[_[_[]]]_],1.2006561496293136e-10
270,[_[_[]_]][[]_],1.316708524898135e-09
271,[[_[]_]_][[]_],2.106110041760872e-10
272,[[[_[_[]]]_]_],1.4164797054617584e-07
273,[_[]][_[_[]_]],1.2401317074945133e-10
274,[_[_[]_]][_[]],1.298070045807896e-10
275,[[_[_[_[]_]]]_],9.410673562317055e-08
276,[_[[_[_[]]_]_]],9.733855126255907e-08
277,[_[_[[[]_]_]_]],1.2454760489877197e-07
278,[_[_[_[[]_]]_]],1.0086109912793688e-07
279,[_[[_[_[]]]_]_],1.3249388258428544e-07
280,[_[_[[_[]]_]]_],1.0209571530369893e-07
281,[_[[_[[]_]_]_]],1.0305123442811123e-07
282,[[[_[[]_]_]_]_],1.1169666299538692e-07
283,[_[_[[[]_]_]]_],1.2384748846275923e-07
284,[_[_[_[[]_]_]]],1.3169703894950275e-07
285,[_[[[_[]_]_]_]],1.0647807306745878e-07
286,[_[[[[]_]_]_]_],1.312099696542116e-07
287,[_[_[_[_[]]_]]],1.3465439760062979e-07
288,[_[[_[[]_]]_]_],9.998192640324103e-08
289,[_[_[[_[]]_]_]],1.0096799576453371e-07
290,[_[_[_[_[]]]_]],1.254814460062958e-07
291,[[_[[[]_]_]_]_],1.4924332430162194e-07
292,[[_[_[_[]]]_]_],1.3160128317518143e-07
293,[_[_[_[_[]]]]_],1.2660214890483846e-07
294,[[_[_[_[]]_]]_],1.1469566755824225e-07
295,[[_[[_[]]_]_]_],9.810674161298663e-08
296,[_[_[_[[]_]]]_],1.0002702162803522e-07
297,[[_[_[[]_]_]]_],8.946830698630368e-08
298,[[_[[_[]_]_]]_],1.0161877266374118e-07
299,[[[_[_[]_]]_]_],1.2344968275739579e-07
300,[_[[[_[]]_]_]_],1.2984249873630624e-07
301,[_[_[_[_[]_]]]],1.6634572046582669e-07
302,[_[[_[_[]_]]_]],1.0501389922782973e-07
303,[[_[_[[]_]]_]_],1.1918360072721044e-07
304,[[[[_[]_]_]_]_],1.4728810118319706e-07
305,[_[_[[_[]_]_]]],1.0413195328117849e-07
306,[[[_[_[]]_]_]_],1.3057228954615205e-07
307,[[_[[_[]_]_]_]_],8.307580197607473e-08
308,[_[_[_[_[]_]_]]],9.313557322846842e-08
309,[_[_[_[_[]]]_]_],8.09370771747109e-08
310,[_[_[_[_[]_]]]_],6.555774360170893e-08
311,[[_[_[_[]_]]_]_],6.588919100593834e-08
312,[_[_[[_[]_]_]_]],5.5490907596851506e-08
313,[_[[_[_[]_]]_]_],7.430428379790788e-08
314,[_[_[_[[]_]]_]_],6.723764057010662e-08
315,[_[[_[[]_]_]_]_],7.440503298557918e-08
316,[[[_[_[]_]_]_]_],8.20178390413838e-08
317,[_[[[_[]_]_]_]_],8.305718891255754e-08
318,[_[_[[[]_]_]_]_],8.680201387676396e-08
319,[_[_[[_[]]_]_]_],5.0468888793094105e-08
320,[_[_[_[[]_]_]]_],6.275995086512399e-08
